title,view_num,likes
"2022 热 梗 年 度 总 结 ！！！", 2452891, 370216,
"时隔半年！我终于拼出了史诗级别泰坦尼克号！", 1607712, 286867,
"挑战早期B站入站题", 2679314, 409125,
"奶爆新番！一月最值得期待的10部动画！史上最弱1月降临？！【泛式】", 1183056, 116021,
"这玩意都敢翻拍？！〈男子高中生的日常〉——东升高中动漫社", 1115476, 107241,
"海绵diodio ，比奇堡打dio团！（派大星的奇妙冒险—星尘斗士最强op）", 524133, 71335,
"【warma】我最擅长照顾人了!【我这个是上篇】", 1896668, 244719,
"【阿米娅个人向原创手书】群青", 292309, 60897,
"快逃！纸板成精了！！【第三期】！！", 937356, 96281,
"冬天能够温暖我的不是被窝，而是……", 990728, 126071,
"当 代 年 轻 人 生 存 现 状", 445068, 54586,
"关于 hello, world 2022", 482485, 58066,
"《 我 不 是 梗 神 》2021终极融梗", 453987, 56585,
"《B 站 各 等 级 用 户 现 状 ！》（番外篇）", 469238, 46519,
"阿梓的婚后生活", 570111, 37864,
"【大一上学期动画结课作业】雾里", 295506, 60739,
"【泛式】突发恶疾！80小时MAD竟把泛式变成了这样…", 445709, 44012,
"2022年全年值得期待的动漫大作！（暂时）", 568248, 55665,
"西安加油", 502844, 123116,
"花了1年制作的明日方舟动画", 282100, 59270,
"索隆霸王色觉醒！为了野心与挚友的约定！《海贼王》和之国篇第三十集【漫画明说】", 298405, 34700,
"假如打车像抽盲盒", 476447, 59490,
"【原神】甘雨：“你抽了申鹤是吧！是的吧！”", 582803, 41834,
"【怒九】我最擅长照顾人了！【我这个才是上篇】", 915152, 131157,
"【乃琳手书】𝐸𝒾𝓁𝑒𝑒𝓃", 184622, 26387,
"⚠️惊 吓 小 珈 乐⚠️（直播剪辑）", 225962, 35486,
"【原神手书】八重神子的恋爱循环", 261826, 36821,
"一个发型改变一个人", 377244, 44211,
"小夫...快收手吧...外面全是胖虎...", 676752, 78900,
"2022年~阿古茹的第一支舞！！！！！", 349380, 45820,
"【氰化越狱秀】第三屁：贝爷越狱计划", 485004, 39365,
"原 神 运 动 会", 356932, 59778,
"骑 士 踢 亿万级配音员", 379235, 25955,
"【22娘×33娘】哦？听说你还不认识我家33？", 323039, 57804,
"【Shoto】来点病娇", 242898, 38212,
"迷 人 的 猪 子", 402532, 44911,
"【乃琳】且仙且娇，国风舞蹈六连跳【直播】", 124503, 27012,
"【全站最长】火影忍者1-720集“精剪”24小时连播", 874230, 95768,
"319张QQ涂鸦国王排名片头？？", 417518, 43586,
