title,view_num,likes
"湖南妹子：“谁说我们只有辣！？这爆香浓味，能从天黑吃到天亮！”", 1742166, 174070,
"一碗只有三根的碳水炸弹！这一口我等了一年……", 1397866, 165324,
"《 记 录 生 活 的 蛋 黄 派 》", 1802003, 218792,
"印度街头炒面来一份，晚上就不用做饭了！", 1922619, 135540,
"探访2000年历史蓝纹奶酪工厂！挑战全世界最臭蓝纹奶酪？！ 2021解锁成功！", 1018271, 99738,
"惠灵顿牛排天花板  吃一口就破产", 1546137, 166514,
"2998烤全羊，6个人吃不下，靓胖仔直呼好爽【还愿挑战ep04-香木香羊】", 1106049, 146908,
"大海退潮后，大庆赶海发现比目鱼搁浅在沙滩上，还有蛏王小鼻子", 1044097, 99076,
"日本最贵金枪鱼熟成28天，极致的海鲜风味重磅来袭！", 549160, 79600,
"真探唐仁杰来看网友《唐式探店》了，看看你有没有被点名呀～｜真探来了", 1364464, 75193,
"佛跳墙为何不敢下口？英国公婆竟然这样评价海参……", 938522, 71277,
"厨师长教你：“板栗烧鸡”的家常做法，咸鲜美味，汤汁浓郁", 698390, 59429,
"藏渔岛 厨子探险¥？？？", 1118502, 77712,
"需要提前电联确定位置的路边摊,因为太出名了老板娘还让儿子开了分摊!美食探店/无广试吃员", 914345, 73432,
"牛肉饼还得这么吃", 916008, 69784,
"【上青杰哥】  螃蟹年会", 1877376, 94218,
"牛排外焦里嫩的最高境界！", 1656635, 130551,
"爷青回！史上最还原的青草蛋糕！！懒羊羊馋哭了", 1030592, 115319,
"粉丝寄的，辣哭我的辣条2.0【不愿再爱版】", 658100, 63213,
"这是我见过最奇葩的大海螺，蘸我灵魂酱汁，越吃越上头", 804871, 68234,
"小伙学做网红酸奶柑橘片到凌晨两点，这辈子不想再做了！", 494734, 54693,
"回家必吃美食，19元自助小火锅，好吃带劲", 659745, 50824,
"最“短命”的网红小吃，当年火爆整条街，现在怎么样了？第二弹！", 594668, 52034,
"探访美国最牛海鲜餐厅！！在比尔盖茨餐厅吃饭什么体验？", 1309778, 111046,
"26斤铁锅做梅花糕，这就是国服第一摊主的实力吗？", 570151, 43517,
"没想到瑞士奶酪烤架成了宿舍必备单品！", 556566, 66590,
"老板娘买鱼又被忽悠了，然后却卖给大哥了，不知道大哥能不能吃满意", 751209, 38125,
"3元的杏仁油茶，果仁和麻花吃着酥脆越嚼越香，一大壶100多碗一会就卖完", 527761, 48438,
"这些“濒临灭绝”的地方特色零食，你都吃过哪些？#第二弹！", 621440, 53102,
