title,view_num,likes
"许 嵩 是 吧", 630545, 69138,
"美  式  鸡  汤", 615121, 57426,
"【原神全明星】提瓦特大陆的节奏竟如此带感！", 482122, 76910,
"⚡喝！！！⚡𝑩𝒆𝒍𝒊𝒆𝒗𝒆𝒓", 4395916, 473012,
"如 果 早 知 道 全 都 是 色 狼 ...", 478809, 53351,
"催 逝 员 : 鸡 汤 无 归", 465483, 47328,
"电 子 空 姐", 876645, 61232,
"当潘森跟剑魔遇到鬼3！", 751944, 71299,
"⚡狂 人 日 寄⚡", 12268754, 644793,
"无 伤 速 通 催 逝 员", 10050711, 863621,
"《2021鬼畜大回顾》豆瓣评分9.9", 373019, 40727,
"我看了两个月催逝员，这应该是最离谱的！", 496974, 42975,
"2021全明星答题！！", 717393, 35648,
"「误导向」感人短片《苏联老兵》", 271735, 26805,
"⚡独 立 宣 言⚡", 286696, 28217,
"双 押 特 工", 3113629, 298563,
"特朗普祝大家元旦快乐", 398235, 53228,
"⚡️Soup of you⚡️", 342017, 36870,
"朕 也 怕 死 是 吧", 526057, 26910,
"梅菜扣肉抢劫事件", 650884, 60831,
"老冯啊 你做的饭狗都不吃", 231718, 22277,
"梅菜扣肉逃跑事件", 982419, 85422,
"【李云龙】孤勇者", 2267219, 316384,
"⚡孤勇者 废话完整版⚡", 2402540, 172021,
"元 旦 杰", 430669, 47687,
"给我唱Something Just Like This是吧", 152043, 15907,
"2021年鬼畜全明星大盘点！", 607982, 48809,
"给我唱《Shape of You》是吧", 168479, 17050,
"喜迎元旦——亚托克斯送来元旦祝福 ! ! !", 314803, 33973,
"未  知  体  验  镇  魂  曲", 2088119, 210757,
"⚡给我唱TroubleMaker的是吧⚡", 143961, 13362,
"这 下 毒，多 是 一 件 美 事 儿 啊 ~", 1962694, 153602,
"商 业 互 撕", 633756, 64442,
"⚡队 长 大 战 老 冯⚡", 123752, 10271,
"《挂科者》（原曲：《孤勇者》）：期末不挂科！！！", 175878, 11163,
"2021鬼畜全明星大回顾！", 1883441, 217265,
"反 向 带 货 P K 版 本", 3185154, 262498,
"【曹操】红日", 99934, 8023,
"猫 和 老 鼠 专 业 配 音 员", 2590198, 138200,
"这狂扁天皇多是一件美事啊", 903061, 75612,
"特朗普：拜登发表的新年贺词不算，让我再来一遍......", 124772, 9506,
"高 级 神 医", 80938, 8543,
"梅菜扣肉落水事件", 3051787, 223649,
"⚡ 给我唱𝙗𝙚𝙡𝙞𝙚𝙫𝙚𝙧是吧 ⚡", 1709341, 153689,
"⚡《青》汤⚡", 204835, 20501,
"【越来越离谱系列四】《绝命毒师》", 1345539, 99624,
"樱 桃 小 叉 子", 116190, 7192,
"《狼》形象记忆", 1680830, 162127,
"专 业 配 音 镇 魂 曲", 251910, 16406,
"神龙♂斗士", 72771, 6855,
"2021鬼畜全明星大回顾", 424654, 49951,
"守 望 先 锋 专 业 配 音 员", 132802, 4144,
"给我唱《aLIEz》是吧", 559805, 64211,
"危险的专业配音员", 303321, 20927,
"【剧情向】我终于得到乔峰的音响啦！", 5327075, 221172,
"【剑魔】亚托克斯的新年祝福", 118902, 10372,
"可以许愿的阿黑路星", 155877, 10527,
"【熊出没】俄式熊 二", 213529, 14689,
"【罗翔】不法者（孤勇者）", 3350816, 312410,
"术   力   口   跨   年", 43040, 6455,
"梅菜扣肉咬人事件", 11157608, 482362,
"信 任 危 机", 77897, 5941,
"【装机猿】谁教你这么修电脑的？", 129627, 11365,
"【全明星】⚡烦死了⚡", 47336, 4635,
"全网最帅五兄弟", 89331, 4976,
"敢 杀 我 的 马？！", 65880946, 2912652,
"考  试  中  破  防", 1043496, 89268,
"最 强 特 工", 68766, 6664,
"和我秦二世拼你有这个实力吗", 78135, 6712,
"每年沼气泄露的时候，我总会想掘一个人", 60015, 6188,
"【瓜瓜乐】一些突发恶疾", 27982, 3527,
"后宫zhan嬛传-选秀进宫", 102451, 9130,
"送 错 屋", 3954341, 202394,
"⚡一 脚 踢 出 了 整 个 盛 夏⚡", 982210, 89274,
"【派大星的独白】一个关于正常人的故事", 72602169, 4546135,
"🥣鸡 汤 之 刃🥣", 493646, 35089,
"⚡跟我玩过年是吧？⚡", 149409, 2222,
"迪 迦 千 万 级 专 业 配 音", 133779, 8500,
"8848炸死你手机", 774853, 69950,
"2021鬼畜全明星大回顾！", 1685067, 147556,
"春节序♂曲", 247271, 24149,
"⚡萨 日 朗！！！⚡", 32682001, 1619192,
"梅菜扣肉生产流水线", 114309, 4534,
"高 级 特 工", 7330198, 254096,
"杀手皇后专业配音员", 65893, 4706,
"【穿山甲】⚡S T A Y⚡", 265346, 16089,
"闪 灵 专 业 配 音 员", 318936, 26874,
"【派大星】“谁说我不能做自己的英雄”——孤勇者", 472898, 35191,
"鬼畜大战僵尸", 2636569, 47232,
"《在鲤鱼自我介绍里捣乱是否搞错了什么》（liella）", 53995, 3036,
"【王喜顺】有何不对", 68996, 4544,
"T-1000液态金属特工", 1128497, 94576,
"【王者劝架鼠】树叶赖神为神鸡营吵架德华前来劝架！", 92948, 7260,
"动 物 世 界——鸡汤与瓜", 71419, 6074,
"【熊畜没】吴克的山寨iPhone", 70509, 4265,
"《熊畜没》  “意大利炮”", 19911562, 201273,
"给我玩口袋妖怪是吧！第三集", 45037, 4367,
"【特效向】你管这叫植物大战僵尸？", 747887, 39879,
"【全明星】⚡STAY⚡最上头版本", 65074, 10045,
"⚡加勒比摆盗⚡", 50583, 5457,
