title,view_num,likes
"Rush#dol（全网最好听最速！）", 2951874, 269668,
"少女开口竟涉嫌一起德芙失踪案？！DNA错乱！！", 862266, 101549,
"《明日方舟》EP - Silver Lining", 517551, 81486,
"【张晚意·两版错位时空混剪·双声道】当时空交错，当皮鞋声与铁链声同时响起。", 636964, 54725,
"天籁合鸣！SM家族演唱会宁艺卓X温流合作舞台《Way》", 671865, 44051,
"【拉宏】真人版金克丝翻拍《Enemy》｜挑战高难度rap翻唱", 462229, 66646,
"唱了29个中华神话？凤凰传奇《万神纪》点燃热血【2021 B站跨年晚会单品】", 5254030, 73319,
"金色大厅交响乐演奏2021年度金曲（迫真）", 518799, 52024,
"张艺兴《悟》MV首发，金箍一棒释西行真意", 1931643, 69903,
"究极还原 皇后乐队【波西米亚狂想曲】全声部翻唱+吉他翻弹", 280984, 47043,
"Michael Jackson（feat.吴碧霞）- 危险的广寒宫（Mashup）", 2268017, 228466,
"神仙联动！周深邓丽君同台合唱大鱼", 1230814, 81767,
"这个人，该火！！", 1856812, 177589,
"2022赛季EDG官方应援曲《参天》", 479531, 42571,
"“最强打工人”周深，跨年四个平台九个节目，粉丝忙到四分五裂！", 640610, 64838,
"【花花×瓶子】 打上花火", 1199801, 109236,
"李泰容+李帝努+黄冠亨+刘扬扬+内永绘里 合作新曲Zoo 2022家族演唱会舞台", 500765, 24846,
"【4K60FPS】五月天、张惠妹《后来的我们》梦幻联动现场！有遗憾的才是人生吧", 349089, 35974,
"洛城MV 感谢聆听哦～", 226650, 28588,
"【庆AS一周年】 《朝凤》——“非生来富贵 是天道酬勤”", 204874, 30380,
"河 南 宝 宝", 616422, 36035,
"周深登上339米舞台 演唱《繁星璀璨的天空》", 211183, 34034,
"太强了！撤硕k歌《不醉不会》", 346000, 38022,
"【原神·神里绫华】白鹭霜华（声优原创曲）", 337985, 59495,
"卡农", 2179523, 199372,
"⚡杠 精 有 嘻 哈⚡【20w典藏远坂凛】", 168902, 28035,
"原来这些动画主题曲都是他们唱的，现在才知道！", 1634287, 145834,
"前方高能！《孤勇者》女声版 超A燃炸！！", 14405062, 990054,
"后妈茶话会原版配音", 3646684, 443227,
"【UNDERTALE】因为热爱，所以坚持", 109192, 21494,
"【沙雕说唱】当rapper去面试练习生，你将听到2021年度热门歌曲大集合", 467153, 47381,
"群青，但是空耳", 232637, 25147,
"我把2021写进了《打上花火》【Q酱/佑可猫】", 297619, 19850,
"忘词还能这么嚣张？邓紫棋：老娘自己写的歌，瞎编几句唱好了！", 1839552, 196031,
"来了！凤凰男爵（传奇）最新单曲！《望星辰》翻唱", 266912, 21694,
"吉他弹唱《别怕我伤心》", 174037, 21968,
"【崩坏3】Flamo【姬子&琪亚娜同人原创曲】", 204139, 33769,
"唢呐二胡祝您新年快乐～《小拜年》", 197519, 30852,
"【翻唱】乃琳 ❤ Marry You ❤ 在月下接受我的告白吧【直播】", 84871, 18648,
"同时演奏铠甲勇士BGM、《unravel》和《溯》竟然这么好听？", 584200, 54324,
"当Bbox达人在地下车库用嘴巴模仿小号会发生什么", 3331893, 387080,
"这戏腔国风绝了，耳朵已沦陷，待你归来，双平行时空合并版", 316890, 10741,
"我将122首周杰伦的歌曲写成了1首吉他曲之王", 87387, 10071,
"注入灵魂！俄语弹唱《漠河舞厅》", 382697, 34214,
"高三最后一次元旦晚会 《孤勇者》 最精彩的演出！！", 267176, 18699,
"耳机分我一半（20211212完成）11", 1391623, 47323,
"虚拟偶像男团丨LASER末世氛围单曲《LASER's world》来袭！We on fire！", 565636, 75679,
"你要偷偷练习，然后去开口惊艳所有人", 728569, 46490,
"2022 SM家族演唱会 SMTOWN完整版+舞台合集", 142525, 5652,
"央媒终于对这四网红歌曲下手了 重新填词后 意境催人泪目", 2468257, 68474,
"【超清中字】终于等到你 九尾狐封神近脸直拍 aespa - 'Savage' (KARINA/柳智敏)", 199479, 13266,
"仙气白衣也能唱红色高跟鞋？刘雨昕演绎不一样的质感的红色高跟鞋", 90768, 7222,
"【SM】2022SMTOWN家族演唱会完整版", 139317, 5185,
"啥是Flow？啥是Lay Back？为什么Eminem的《Lose Yourself》是封神之作？", 105567, 14430,
"“总有一天，全服的欧皇，都要高看我们！”", 621987, 67706,
"米津玄师一个被誉为不会说话人，但在音乐上有着极高的造诣，八首歌带你认识这位音乐鬼才。", 3868078, 54868,
"【TF家族三代】首支新曲《长大》| 饭制MV", 129149, 11015,
"南 韩 大 胃 王 女 团 出 道", 204011, 11363,
"网红离开“滤镜”多惨？莫叫姐姐不仅声音变了，连脸都变形了！", 1312208, 4181,
"Travis Scott《酒醉的蝴蝶》完整版", 229971, 19587,
"英国兄妹合唱英文版《孤勇者》，不一样，但爆好听！", 2061780, 210726,
"【彩虹现场】和彩虹一起跨年，或许是迎接新年最快乐的方式。", 211066, 13121,
"【多多poi】亲爱的你呀～再跳个舞吧！《假面舞会》翻唱", 59826, 15851,
"【曹操】指弹！笑死！根本燃不起来！！！", 122895, 11988,
"十二星座专属暗黑神曲，莫名诡异却好听", 2216749, 36783,
"因为嗓子好了（《）所以我放弃了音乐（》）", 92900, 17485,
"拥有千万粉丝的网红离开百万调音师，清唱有多厉害？", 5343413, 89530,
"【央视启航2022】周深演唱《你要跳舞吗》嗨爆全场", 378233, 42041,
"把孤勇者升30key翻唱？陈奕迅老师对不起！", 254969, 17701,
"国外专业音乐人如何评价Beyond？", 445759, 45337,
"【歌荒福音】每首歌只能听15秒", 1198496, 80914,
"【戴上耳机 ♪ 原地起飞】值得你单曲循环的100首宝藏热歌合集！开车/作业/运动/必备！", 2001494, 93730,
"【4K60帧】经典老歌：瑞克·埃斯利《Never Gonna Give You Up》1987 AI修复补帧版", 17234492, 629359,
"居然有人站在讲台上翻唱《浮夸》？！", 162283, 10625,
"老规矩：广东人绕行", 205364, 13809,
"【猛男必听】DIO当年就是听这首歌被萌死的", 134234, 15937,
"太好听了！国粹版《孤勇者》", 1457218, 224106,
"【周深】《奔赴》人民日报新媒体2022跨年主题MV", 111409, 19456,
"【少女时代】【EXO】【BEAST】【宇宙少女】盘点韩国爱豆那些养老歌曲，有你喜欢的吗？下雨下雪都有，那跨年必听的得是哪首歌？As You Wish", 157718, 18982,
"九种语言版《想见你想见你想见你》：2022 也请一起彼此陪伴下去吧", 178500, 20458,
"【杰尼斯】2021-2022 Johnny's Countdown J家跨年 高清中字【反正不是字幕组】", 77423, 3987,
"【原创曲】Bloody Groovy【ChroNoiR】", 607869, 100867,
"紅白歌合戦「第72回NHK红白歌会」2021.12.31 高清完整版", 125808, 5157,
"法国街头弹《市集》我感觉自己已经在办年货了！好欢乐哦～", 262004, 35998,
"全球首批英语男性VTuber出道曲-Hope in the dark", 945809, 71750,
"左航巴蜀中学2021艺术节剧场《卷》 高一20班 是主角有跳舞！卷起来", 220069, 19223,
"当我重新填词了《孤勇者》并且配上了剪辑…", 92637, 11911,
"【华晨宇｜孤勇者】去他的2021！", 64208, 6492,
"2022年维也纳新年音乐会｜元旦正场｜超清完整带中场（无台标/ORF/ZDF）Neujahrskonzert New Year's Concert", 70946, 3245,
"【周深/邓丽君】《漫步人生路》直拍live丨和声真的太美了！！！", 154785, 14367,
"歌曲教学 陈奕迅《孤勇者》简单教唱", 945065, 46839,
"【周深】跨年just like fire现场彩排全程", 73643, 8789,
"【官方 MV】Never Gonna Give You Up - Rick Astley", 33618951, 1041226,
"陈奕迅一夜2亿播放的《孤勇者》，居然是患癌女粉丝写的，破防了！", 3925915, 342852,
"和暗恋对象玩剧本杀是什么体验？！", 156169, 20601,
"【古琴】《荣耀向我俯首》La gloire à mes genoux | 摇滚红与黑", 79540, 10711,
"【IZONE】PICK ME 舞蹈接力", 166640, 10802,
"【钢琴】《宿命回响：命运节拍》OP「タクト(takt)」", 99837, 11958,
"光看长相，实在想不到他居然这么牛！！#米津玄师 #lemon #明星 -", 3391949, 39066,
"学校操场唱王菲的《人间》，是一开口就会爱上的声音！", 112018, 8161,
