title,view_num,likes
"一张游戏卡！引发的蝴蝶效应！", 4735483, 478467,
"「小白」年度特辑 我们改造了一所乡村小学", 401253, 101669,
"让人脑洞大开的创意摄影， 原来还能这么玩，又酷又炫！", 2861986, 304303,
"安卓稀缺冷门APP，小众软件才是王道！手机体验翻倍！！！", 759085, 29625,
"维修被挤弯的iPad Pro。", 1001104, 73059,
"《舌 尖 上 的 CPU 》", 1799964, 84919,
"我以为这个是段子，没想到是真的 usb3.0 传输速度", 1261511, 66631,
"【亦】警惕AI诈骗！我用AI复制了一个朋友，效果可太刑了", 308349, 27873,
"【抽奖预告】元旦节快乐！送一台3060Ti火神双屏海景房电脑给大家！仅限B站！", 540557, 28370,
"【苏星河】这个所有人都在吹的系统，再次被我彻底玩坏", 1391123, 104638,
"【千万不要买】我给我们今年买的奇葩玩意颁了个奖...", 699616, 42844,
"小米12开箱卡成狗，多年米粉瞬间破防", 576480, 12013,
"up花上百小时，深扒微信到底为啥那么大！", 207286, 15960,
"【涡环现象】猫草的空气炮!", 638449, 57987,
"【开箱】我升级了小米MIUI13！六大新功能！", 516911, 36213,
"【硬件趣闻】笔记本电脑哪个牌子好？2021全网最全一线品牌本选购指南", 1468443, 64140,
"最系统科学的清理C盘攻略，小白也能轻松操作？还无需额外工具！", 145673, 8752,
"挑战全网最牛宿舍", 4473703, 322542,
"【抽奖】元旦礼，跑分133W主机免费送，仅限B站....", 120558, 10606,
"【我叫一声，小尾巴你敢应吗】- 语音控制的小尾巴样机", 420190, 16090,
"新年剁手买什么？UP主们年度最推荐数码产品", 396237, 35525,
"开箱试玩500瓦风力发电机 赔了我将近2000元钱！", 244611, 18989,
"【卡戎】买新不买旧，除非…… 我在2021年底使用了小米6一周，最后一周", 457484, 31041,
"自制安保巡逻机甲，老年人使用都没问题", 4982719, 446375,
"来感受一下华为夜视仪的强大实力", 381830, 14170,
"游戏编程大赛第一名作品，膜拜大佬的13KB", 2790388, 142428,
"看电容识主板，看空气识显卡，把电脑烧成灰这UP居然还认识？——阅阅机无数无数第一季！", 183469, 23926,
"小米 12 Pro 评测 ：骁龙 8 Gen 1 这回真凉了？", 1018844, 49464,
"苹果xsmax换外屏，碰炸弹了，还没开始就结束了", 216384, 7534,
"实测2000元无创测血糖手表！到底是最新黑科技还是最心黑科技？", 329414, 14730,
"70年代的锤子和2021年生产的锤子哪个质量更好？看小哥用液压机测试", 3557288, 1973,
"1亿播放达成：一名全职UP主的2021年报", 110109, 17747,
"我不拍照，买新手机为什么不能给我便宜两千？", 3105493, 159454,
"中正评测：RTX3060的笔记本不到六千？别买！", 225896, 6903,
"某鱼199块捡的手机，没想到弯成这样了，竟然还能打王者？", 1741553, 3936,
"《淘宝整机奸商是怎么坑电脑小白的》", 421580, 11683,
"一分钟带你了解100%纯黑巧克力制作全过程", 4156804, 11336,
"「木羽」乏善可陈，稳中求进——MIUI 13深度详细体验（MIUI Phone）", 565002, 42550,
"韦伯望远镜的镜面，怎么擦？", 1796099, 82774,
"白眼App2.0上线！全新考试模式！原理上堵绝跑分作弊，协助发现历史作弊者，可获得实物奖励", 75788, 10046,
"世界上最先进的半机械人 Scott-Morgan 博士 @柚子木字幕组", 236544, 10726,
"看完这个视频，你有什么想说的吗？", 616846, 14659,
"米12真的是太失望了 入的首发 刚拿到手就有问题", 208257, 5907,
"这台Dell笔记本有骨气，工资发少了一点就离职", 147841, 9862,
"【全网最全】20个iPad隐藏绝技，你未必全知道！！！", 1086375, 82490,
"走进工厂：蓝宝石手机贴膜是如何制造出来的", 141271, 16616,
"想换手机？低价玩火影不卡的手机推荐！帮你避坑！", 91171, 7022,
"SU-47金雕升级归来【眼镜蛇机动，落叶飘】一次满足", 796418, 50875,
"【建议收藏】分体水劝退指南101: 一年没开机的「水冷电脑」有多恶心…", 104235, 8456,
"【iPhone 4】真正的经典，历久弥新   十几年前，他“再一次，改变一切”——[小西设计所]", 402362, 13424,
"【MIUI13】教你没内测资格升级MIUI13方法，无需清除数据", 158380, 6622,
"【短的发布会】不拍月亮抓闪电！小米12不提首发全面吊打苹果13？", 757586, 48495,
"电为什么能让万物动起来？马达电机电动机原理，大功率纯铜铜芯 #电机 #转子 #直流电机", 1145373, 60026,
"【嘿丝测评】骁龙835和865两大神U，还能作为主力机继续战斗吗？我们找来了小米10和小米6体验一下", 157565, 7547,
"有个小学生寄来2台游戏手机，说要换外星人电脑，居然是因为这个？？", 487128, 391,
"AMD首款CPU突破5.0GHz，三星手机塞入A显卡", 121883, 6853,
"2022年最新CPU天梯图，你的CPU还能坚持几年？", 139590, 4070,
"【语音配美化，社死！】全套明日方舟定制语音美化主题包《夕阳景象》", 63497, 6368,
"现在是内燃机时代，航母还在用蒸汽轮机，技术是不是落后了？", 115790, 6523,
"也不知道这玩意凭啥能上架", 673300, 92992,
"关于我无意间一分半速通MIUI 13", 150525, 3696,
"近期N系显卡溢价对比盘点", 282192, 3474,
"小米12，小得刚刚好。", 110165, 6057,
"结果很惊人！刚到手的小米12 Pro，竟被送去跌落现场【白叔x新评】", 244183, 20387,
"第三集｜盘点MIUI13新功能！如此强悍的投屏，喷不了了吧？", 139908, 3938,
"鲨鱼的牙齿有多硬？老外用人类牙齿做对比，结果令人意外！", 2099410, 1134,
"MIUI 13有哪些新功能？汇总来了", 190508, 12416,
"这是真皮毛制造的动物模型，假如你在野外遇到它，估计撒腿就跑了", 4065986, 7004,
